yourlist:M202107026320BA52A5CE8FCD097CB85A53697A350ADA8BD	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
C1qc	P02747	C1QC_HUMAN	reviewed	Complement C1q subcomponent subunit C	C1QC C1QG	Homo sapiens (Human)	245
Cand1	Q86VP6	CAND1_HUMAN	reviewed	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)	1230
Ctsb	P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339
Ctsd	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
Cdc5l	Q99459	CDC5L_HUMAN	reviewed	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
Cltb	P09497	CLCB_HUMAN	reviewed	Clathrin light chain B (Lcb)	CLTB	Homo sapiens (Human)	229
Cntfr	P26992	CNTFR_HUMAN	reviewed	Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha)	CNTFR	Homo sapiens (Human)	372
Copg1	Q9Y678	COPG1_HUMAN	reviewed	Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)	COPG1 COPG	Homo sapiens (Human)	874
Cryl1	Q9Y2S2	CRYL1_HUMAN	reviewed	Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)	CRYL1 CRY	Homo sapiens (Human)	319
Ddx19a	Q9NUU7	DD19A_HUMAN	reviewed	ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DDX19-like protein) (DEAD box protein 19A)	DDX19A DDX19L	Homo sapiens (Human)	478
Ddhd2	O94830	DDHD2_HUMAN	reviewed	Phospholipase DDHD2 (EC 3.1.1.-) (DDHD domain-containing protein 2) (KIAA0725p) (SAM, WWE and DDHD domain-containing protein 1)	DDHD2 KIAA0725 SAMWD1	Homo sapiens (Human)	711
Dpp7	Q9UHL4	DPP2_HUMAN	reviewed	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	DPP7 DPP2 QPP	Homo sapiens (Human)	492
Dnm1	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
Eef1b	P24534	EF1B_HUMAN	reviewed	Elongation factor 1-beta (EF-1-beta)	EEF1B2 EEF1B EF1B	Homo sapiens (Human)	225
Ehd1	Q9H4M9	EHD1_HUMAN	reviewed	EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)	EHD1 PAST PAST1 CDABP0131	Homo sapiens (Human)	534
Eif1b	O60739	EIF1B_HUMAN	reviewed	Eukaryotic translation initiation factor 1b (eIF1b) (Protein translation factor SUI1 homolog GC20)	EIF1B	Homo sapiens (Human)	113
Eno1	P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
Ermn	Q8TAM6	ERMIN_HUMAN	reviewed	Ermin (Juxtanodin) (JN)	ERMN KIAA1189	Homo sapiens (Human)	284
Ermp1	Q7Z2K6	ERMP1_HUMAN	reviewed	Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)	ERMP1 FXNA KIAA1815	Homo sapiens (Human)	904
Fabp7	O15540	FABP7_HUMAN	reviewed	Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7) (Mammary-derived growth inhibitor related)	FABP7 BLBP FABPB MRG	Homo sapiens (Human)	132
Fahd1	Q6P587	FAHD1_HUMAN	reviewed	Acylpyruvase FAHD1, mitochondrial (EC 3.7.1.5) (Fumarylacetoacetate hydrolase domain-containing protein 1) (FAH domain-containing protein 1) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (YisK-like protein)	FAHD1 C16orf36 YISKL	Homo sapiens (Human)	224
Efemp1	Q12805	FBLN3_HUMAN	reviewed	EGF-containing fibulin-like extracellular matrix protein 1 (Extracellular protein S1-5) (Fibrillin-like protein) (Fibulin-3) (FIBL-3)	EFEMP1 FBLN3 FBNL	Homo sapiens (Human)	493
Fkbp2	P26885	FKBP2_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)	FKBP2 FKBP13	Homo sapiens (Human)	142
Flot2	Q14254	FLOT2_HUMAN	reviewed	Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1)	FLOT2 ESA1 M17S1	Homo sapiens (Human)	428
Frrs1l	Q9P0K9	FRS1L_HUMAN	reviewed	DOMON domain-containing protein FRRS1L (Brain protein CG-6) (Ferric-chelate reductase 1-like protein)	FRRS1L C9orf4	Homo sapiens (Human)	344
Fubp1	Q96AE4	FUBP1_HUMAN	reviewed	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	FUBP1	Homo sapiens (Human)	644
Gnb1	P62873	GBB1_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
Gng12	Q9UBI6	GBG12_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	GNG12	Homo sapiens (Human)	72
Gga3	Q9NZ52	GGA3_HUMAN	reviewed	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	GGA3 KIAA0154	Homo sapiens (Human)	723
Hap1	P54257	HAP1_HUMAN	reviewed	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	HAP1 HAP2 HLP1	Homo sapiens (Human)	671
Hdac11	Q96DB2	HDA11_HUMAN	reviewed	Histone deacetylase 11 (HD11) (EC 3.5.1.98)	HDAC11	Homo sapiens (Human)	347
Hectd3	Q5T447	HECD3_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	HECTD3	Homo sapiens (Human)	861
Cpox	P36551	HEM6_HUMAN	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	CPOX CPO CPX	Homo sapiens (Human)	454
Eif4b	P23588	IF4B_HUMAN	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611
Ppa1	Q15181	IPYR_HUMAN	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA1 IOPPP PP	Homo sapiens (Human)	289
Iqsec2	Q5JU85	IQEC2_HUMAN	reviewed	IQ motif and SEC7 domain-containing protein 2	IQSEC2 KIAA0522	Homo sapiens (Human)	1488
Prkar1a	P10644	KAP0_HUMAN	reviewed	cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1)	PRKAR1A PKR1 PRKAR1 TSE1	Homo sapiens (Human)	381
Tmpo	P42166	LAP2A_HUMAN	reviewed	Lamina-associated polypeptide 2, isoform alpha (Thymopoietin isoform alpha) (TP alpha) (Thymopoietin-related peptide isoform alpha) (TPRP isoform alpha) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]	TMPO LAP2	Homo sapiens (Human)	694
Tmpo	P42167	LAP2B_HUMAN	reviewed	Lamina-associated polypeptide 2, isoforms beta/gamma (Thymopoietin, isoforms beta/gamma) (TP beta/gamma) (Thymopoietin-related peptide isoforms beta/gamma) (TPRP isoforms beta/gamma) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]	TMPO LAP2	Homo sapiens (Human)	454
Lsm1	O15116	LSM1_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	LSM1 CASM	Homo sapiens (Human)	133
Mark2	Q7KZI7	MARK2_HUMAN	reviewed	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	788
Micall1	Q8N3F8	MILK1_HUMAN	reviewed	MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13)	MICALL1 KIAA1668 MIRAB13	Homo sapiens (Human)	863
Nme1	P15531	NDKA_HUMAN	reviewed	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	Homo sapiens (Human)	152
Nf1	P21359	NF1_HUMAN	reviewed	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	NF1	Homo sapiens (Human)	2839
Nefh	P12036	NFH_HUMAN	reviewed	Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein)	NEFH KIAA0845 NFH	Homo sapiens (Human)	1026
Nmt2	O60551	NMT2_HUMAN	reviewed	Glycylpeptide N-tetradecanoyltransferase 2 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Type II N-myristoyltransferase)	NMT2	Homo sapiens (Human)	498
Opa3	Q9H6K4	OPA3_HUMAN	reviewed	Optic atrophy 3 protein	OPA3	Homo sapiens (Human)	179
Pabpc1	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	636
Pcp4	P48539	PCP4_HUMAN	reviewed	Calmodulin regulator protein PCP4 (Brain-specific polypeptide PEP-19) (Purkinje cell protein 4)	PCP4 PEP19	Homo sapiens (Human)	62
Pdcd5	O14737	PDCD5_HUMAN	reviewed	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5 TFAR19	Homo sapiens (Human)	125
Pex5l	Q8IYB4	PEX5R_HUMAN	reviewed	PEX5-related protein (PEX2-related protein) (PEX5-like protein) (Peroxin-5-related protein) (Peroxisome biogenesis factor 5-like) (Tetratricopeptide repeat-containing Rab8b-interacting protein) (Pex5Rp) (TRIP8b)	PEX5L PEX5R PXR2	Homo sapiens (Human)	626
Pgrmc2	O15173	PGRC2_HUMAN	reviewed	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2 DG6 PMBP	Homo sapiens (Human)	223
Phyhip	Q92561	PHYIP_HUMAN	reviewed	Phytanoyl-CoA hydroxylase-interacting protein (Phytanoyl-CoA hydroxylase-associated protein 1) (PAHX-AP1) (PAHXAP1)	PHYHIP DYRK1AP3 KIAA0273	Homo sapiens (Human)	330
Pik3r4	Q99570	PI3R4_HUMAN	reviewed	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	PIK3R4 VPS15	Homo sapiens (Human)	1358
Elfn2	Q5R3F8	PPR29_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62)	ELFN2 KIAA1904 LRRC62 PPP1R29	Homo sapiens (Human)	820
Psma2	P25787	PSA2_HUMAN	reviewed	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234
Adssl1	Q8N142	PURA1_HUMAN	reviewed	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)	ADSS1 ADSSL1	Homo sapiens (Human)	457
Rab21	Q9UL25	RAB21_HUMAN	reviewed	Ras-related protein Rab-21	RAB21 KIAA0118	Homo sapiens (Human)	225
Rab39b	Q96DA2	RB39B_HUMAN	reviewed	Ras-related protein Rab-39B	RAB39B	Homo sapiens (Human)	213
Rhob	P62745	RHOB_HUMAN	reviewed	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	RHOB ARH6 ARHB	Homo sapiens (Human)	196
Rhoa	P61586	RHOA_HUMAN	reviewed	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)	RHOA ARH12 ARHA RHO12	Homo sapiens (Human)	193
Rogdi	Q9GZN7	ROGDI_HUMAN	reviewed	Protein rogdi homolog	ROGDI	Homo sapiens (Human)	287
Snrpa1	P09661	RU2A_HUMAN	reviewed	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	SNRPA1	Homo sapiens (Human)	255
Rundc3a	Q59EK9	RUN3A_HUMAN	reviewed	RUN domain-containing protein 3A (Rap2-interacting protein 8) (RPIP-8)	RUNDC3A RAP2IP RPIP8	Homo sapiens (Human)	446
Sar1a	Q9NR31	SAR1A_HUMAN	reviewed	GTP-binding protein SAR1a (COPII-associated small GTPase)	SAR1A SAR1 SARA SARA1	Homo sapiens (Human)	198
Oxct1	P55809	SCOT1_HUMAN	reviewed	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)	OXCT1 OXCT SCOT	Homo sapiens (Human)	520
Phgdh	O43175	SERA_HUMAN	reviewed	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH PGDH3	Homo sapiens (Human)	533
Slmap	Q14BN4	SLMAP_HUMAN	reviewed	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)	SLMAP KIAA1601 SLAP UNQ1847/PRO3577	Homo sapiens (Human)	828
Spr	P35270	SPRE_HUMAN	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	SPR	Homo sapiens (Human)	261
Srsf7	Q16629	SRSF7_HUMAN	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	SRSF7 SFRS7	Homo sapiens (Human)	238
Tubal3	A6NHL2	TBAL3_HUMAN	reviewed	Tubulin alpha chain-like 3	TUBAL3	Homo sapiens (Human)	446
Odz4	Q6N022	TEN4_HUMAN	reviewed	Teneurin-4 (Ten-4) (Protein Odd Oz/ten-m homolog 4) (Tenascin-M4) (Ten-m4) (Teneurin transmembrane protein 4)	TENM4 KIAA1302 ODZ4 TNM4	Homo sapiens (Human)	2769
Tnc	P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201
Thnsl1	Q8IYQ7	THNS1_HUMAN	reviewed	Threonine synthase-like 1 (TSH1)	THNSL1	Homo sapiens (Human)	743
Tmem55b	Q86T03	PP4P1_HUMAN	reviewed	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)	PIP4P1 C14orf9 TMEM55B	Homo sapiens (Human)	277
Tsr2	Q969E8	TSR2_HUMAN	reviewed	Pre-rRNA-processing protein TSR2 homolog	TSR2	Homo sapiens (Human)	191
Usp15	Q9Y4E8	UBP15_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15) (Unph-2) (Unph4)	USP15 KIAA0529	Homo sapiens (Human)	981
Uchl5	Q9Y5K5	UCHL5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70	Homo sapiens (Human)	329
Nae1	Q13564	ULA1_HUMAN	reviewed	NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1) (Proto-oncogene protein 1)	NAE1 APPBP1 HPP1	Homo sapiens (Human)	534
Vps26a	O75436	VP26A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26	Homo sapiens (Human)	327
Ppp2r2a	P63151	2ABA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447
Abhd14b	Q96IU4	ABHEB_HUMAN	reviewed	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)	ABHD14B CIB	Homo sapiens (Human)	210
Acap2	Q15057	ACAP2_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)	778
Acsbg1	Q96GR2	ACBG1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (hBG1) (hsBG) (hsBGM) (Lipidosin)	ACSBG1 BGM KIAA0631 LPD	Homo sapiens (Human)	724
Actl6a	O96019	ACL6A_HUMAN	reviewed	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	Homo sapiens (Human)	429
Aco2	Q99798	ACON_HUMAN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	780
Acyp1	P07311	ACYP1_HUMAN	reviewed	Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)	ACYP1 ACYPE	Homo sapiens (Human)	99
Adcy9	O60503	ADCY9_HUMAN	reviewed	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)	ADCY9 KIAA0520	Homo sapiens (Human)	1353
Aldh9a1	P49189	AL9A1_HUMAN	reviewed	4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABALDH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]	ALDH9A1 ALDH4 ALDH7 ALDH9	Homo sapiens (Human)	494
Anxa7	P20073	ANXA7_HUMAN	reviewed	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	ANXA7 ANX7 SNX OK/SW-cl.95	Homo sapiens (Human)	488
Ap2a1	O95782	AP2A1_HUMAN	reviewed	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	AP2A1 ADTAA CLAPA1	Homo sapiens (Human)	977
Arfgap2	Q8N6H7	ARFG2_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289)	ARFGAP2 ZNF289 Nbla10535	Homo sapiens (Human)	521
Armc8	Q8IUR7	ARMC8_HUMAN	reviewed	Armadillo repeat-containing protein 8	ARMC8 S863-2	Homo sapiens (Human)	673
Arsa	P15289	ARSA_HUMAN	reviewed	Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C]	ARSA	Homo sapiens (Human)	507
Atp1a1	P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023
Basp1	P80723	BASP1_HUMAN	reviewed	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1 NAP22	Homo sapiens (Human)	227
Begain	Q9BUH8	BEGIN_HUMAN	reviewed	Brain-enriched guanylate kinase-associated protein	BEGAIN KIAA1446	Homo sapiens (Human)	593
Blvra	P53004	BIEA_HUMAN	reviewed	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	BLVRA BLVR BVR	Homo sapiens (Human)	296
Bre	Q9NXR7	BABA2_HUMAN	reviewed	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)	BABAM2 BRCC45 BRE	Homo sapiens (Human)	383
Mthfd1l	Q6UB35	C1TM_HUMAN	reviewed	Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)	MTHFD1L FTHFSDC1	Homo sapiens (Human)	978
Cd99l2	Q8TCZ2	C99L2_HUMAN	reviewed	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)	CD99L2 MIC2L1 UNQ1964/PRO4486	Homo sapiens (Human)	262
Cab39	Q9Y376	CAB39_HUMAN	reviewed	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39 MO25 CGI-66	Homo sapiens (Human)	341
Cd81	P60033	CD81_HUMAN	reviewed	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
Cend1	Q8N111	CEND_HUMAN	reviewed	Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen)	CEND1 BM88	Homo sapiens (Human)	149
Hspe1	P61604	CH10_HUMAN	reviewed	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)	HSPE1	Homo sapiens (Human)	102
Cldn10	P78369	CLD10_HUMAN	reviewed	Claudin-10 (Oligodendrocyte-specific protein-like) (OSP-like)	CLDN10	Homo sapiens (Human)	228
C3	P01024	CO3_HUMAN	reviewed	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	Homo sapiens (Human)	1663
Coasy	Q13057	COASY_HUMAN	reviewed	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)	564
Copz1	P61923	COPZ1_HUMAN	reviewed	Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP)	COPZ1 COPZ CGI-120 HSPC181	Homo sapiens (Human)	177
Coro2a	Q92828	COR2A_HUMAN	reviewed	Coronin-2A (IR10) (WD repeat-containing protein 2)	CORO2A IR10 WDR2	Homo sapiens (Human)	525
Cpeb2	Q7Z5Q1	CPEB2_HUMAN	reviewed	Cytoplasmic polyadenylation element-binding protein 2 (CPE-BP2) (CPE-binding protein 2) (hCPEB-2)	CPEB2	Homo sapiens (Human)	589
Cox7a1	P24310	CX7A1_HUMAN	reviewed	Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)	COX7A1 COX7AH	Homo sapiens (Human)	79
Dbndd2	Q9BQY9	DBND2_HUMAN	reviewed	Dysbindin domain-containing protein 2 (Casein kinase-1 binding protein) (CK1BP) (HSMNP1)	DBNDD2 C20orf35	Homo sapiens (Human)	259
Gad1	Q99259	DCE1_HUMAN	reviewed	Glutamate decarboxylase 1 (EC 4.1.1.15) (67 kDa glutamic acid decarboxylase) (GAD-67) (Glutamate decarboxylase 67 kDa isoform)	GAD1 GAD GAD67	Homo sapiens (Human)	594
Ddah1	O94760	DDAH1_HUMAN	reviewed	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)	DDAH1 DDAH	Homo sapiens (Human)	285
Dhdh	Q9UQ10	DHDH_HUMAN	reviewed	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase) (Hum2DD)	DHDH 2DD	Homo sapiens (Human)	334
Dhx15	O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
